batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,no_of_matches_batsman,batsman_score,batsman_quantile
Liton Das,Bangladesh,41,0.8541666666666666,13.666666666666666,2.1656960941645207,8.662839713938807,0,0.0,0.0,0.13323467750529824,3,2.753589343811814,2
Wahab Riaz,Pakistan,23,0.7931034482758621,11.5,7.256554212631874,4.155460768679217,0,0.0,0.0,0.128564869306645,2,2.7439513275447323,2
ST Finn,England,5,0.5555555555555556,2.5,7.325930073207967,4.831419856969403,0,0.0006246096189881324,0.4935977514053716,1.414213562373095,2,2.7403261572808146,2
D Bishoo,West Indies,80,0.6060606060606061,8.88888888888889,1.0,8.20957828651908,0,0.032119914346895075,0.6573875802997858,0.18454987557625951,9,2.733105838577096,2
Faheem Ashraf,Pakistan,20,0.7142857142857143,10.0,7.256554212631874,1.8461268490271732,0,0.008424599831508003,0.8827777109158744,0.1414213562373095,2,2.7294479362031914,2
Mohammad Rizwan,Pakistan,51,0.6219512195121951,12.75,7.256554212631874,4.155460768679217,0,0.0,0.0,0.15633271741259055,4,2.689855667978843,2
KOK Williams,West Indies,19,0.7037037037037037,4.75,1.0,8.784063351421029,0,0.004282655246252677,0.8765167737330478,0.13255016454180116,4,2.6875177851606096,2
MA Wood,England,3,0.5,1.5,7.325930073207967,6.196403809157996,0,0.0,0.0,0.47140452079103173,2,2.657971707750118,2
AF Milne,New Zealand,17,0.8095238095238095,5.666666666666667,5.1362534056841165,6.497208722457496,0,0.0,0.0,0.19487094073848926,3,2.632347312438117,2
SE Marsh,Australia,38,0.8837209302325582,19.0,4.155460768679217,5.1362534056841165,0,0.0,0.0,0.23570226039551587,2,2.600950836711554,2
MDK Perera,Sri Lanka,15,1.25,15.0,1.8461268490271732,2.1656960941645207,0,0.022488755622188907,1.3905547226386807,0.0,1,2.588156689237347,2
UT Yadav,India,2,0.6666666666666666,1.0,10.0,2.5777303843396084,0,0.0,0.0,0.7071067811865475,2,2.571449717468279,2
A Dananjaya,Sri Lanka,99,0.5823529411764706,11.0,1.8461268490271732,8.780690761169723,0,0.0,0.0,0.06324555320336758,9,2.5160417350314686,1
YS Chahal,India,1,0.09090909090909091,0.5,10.0,3.000793808853195,0,0.00020751193193608634,0.5058103340942104,1.414213562373095,2,2.512526939604883,1
EMDY Munaweera,Sri Lanka,15,0.5172413793103449,7.5,1.8461268490271732,10.0,0,0.0,0.0,0.20203050891044214,2,2.5065578419511327,1
S Samarawickrama,Sri Lanka,42,0.6774193548387096,14.0,1.8461268490271732,8.171036141754582,0,0.0,0.0,0.041239304942116126,3,2.464640858093468,1
