bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
JDF Vandersay,Sri Lanka,-0.8387096774193549,3,3.0,0.057692307692307696,1,0.4505470207770822,0.20038635701779292,0.0375,0.3061224489795918,0.48686556077145154
NLTC Perera,Sri Lanka,-1.1328125,4,0.8,0.027586206896551724,1,0.4505470207770822,0.918622845307989,0.0375,0.3061224489795918,0.4859992720641078
MDK Perera,Sri Lanka,-0.8961937716262975,9,1.8,0.03474903474903475,1,0.4505470207770822,1.0,0.0,0.0,0.48568684708615556
DAJ Bracewell,New Zealand,-0.686046511627907,2,1.0,0.03389830508474576,1,0.5931142265399452,0.9092998587956553,0.006369426751592357,0.10112359550561797,0.4759785756949963
LH Ferguson,New Zealand,-1.053811659192825,5,1.25,0.02127659574468085,2,0.5931142265399452,0.6789708516242843,0.025477707006369428,0.20224719101123595,0.4722313924079076
AF Milne,New Zealand,-0.9902439024390244,3,0.75,0.014778325123152709,3,0.5931142265399452,0.8626367551942705,0.025477707006369428,0.1348314606741573,0.47128200846241525
AR Nurse,West Indies,-0.9629629629629629,4,2.0,0.038461538461538464,1,0.3679107550301953,0.4505470207770822,0.043478260869565216,0.32432432432432434,0.46502486036184304
JS Paris,Australia,-0.9489795918367347,1,0.5,0.010752688172043012,2,1.0,0.8185997175913107,0.004,0.05592105263157895,0.4642793488542037
Anwar Ali,Pakistan,-1.096774193548387,4,4.0,0.058823529411764705,0,0.5440987190042532,0.5931142265399452,0.0,0.0,0.459783131258878
CH Morris,South Africa,-0.9031007751937985,4,0.8,0.017167381974248927,3,0.9806597835166322,0.5336348323769362,0.006024096385542169,0.03559870550161812,0.4569549324563171
Ehsan Khan,Hong Kong,-0.7231638418079096,4,1.3333333333333333,0.03125,1,0.3484584967684489,0.47480792254343984,0.1,0.2,0.45659329872599935
Mohammad Nawaz (3),Pakistan,-0.9239543726235742,5,0.8333333333333334,0.0205761316872428,4,0.5440987190042532,0.5137473925419221,0.06779661016949153,0.1111111111111111,0.45634248466745414
SS Pathirana,Sri Lanka,-0.7628865979381443,7,1.1666666666666667,0.03153153153153153,3,0.4505470207770822,0.5227657040159962,0.0375,0.1020408163265306,0.45344187323407154
RA Jadeja,India,-0.8938356164383562,3,0.6,0.011494252873563218,1,0.8185997175913107,1.0,0.0,0.0,0.4504010951369249
DJ Worrall,Australia,-1.0679012345679013,1,0.3333333333333333,0.005780346820809248,1,1.0,0.6537731890110882,0.008,0.2236842105263158,0.44768331539782574
R Dhawan,India,-1.038709677419355,1,0.3333333333333333,0.006211180124223602,1,0.8185997175913107,1.0,0.011627906976744186,0.10606060606060606,0.4476173029039095
N Pradeep,Sri Lanka,-1.0032786885245901,7,1.1666666666666667,0.02287581699346405,2,0.4505470207770822,0.5156273317353707,0.05,0.2040816326530612,0.44309910565760774
CJ Jordan,England,-1.013157894736842,3,0.6,0.012987012987012988,3,0.7822209483970475,0.7000128051637706,0.01834862385321101,0.0784313725490196,0.4409049610228099
